Question,Category Tag,Bool Flipped,“Yes” indicates,“No” indicates
You enjoy meeting new people and making friends.,Social,F,Extraversion,Introversion
You are excited by new ideas and possibilities.,Processing,F,Intuition,Sensing
You usually make decisions based on logic rather than emotion.,Descision,F,Thinking,Feeling
You tend to go with the flow rather than plan every detail.,Tactics,F,Perceiving,Judging
You prefer quiet time alone to recharge after social events.,Social,T,Introversion,Extraversion
You prefer concrete facts over abstract theories.,Processing,T,Sensing,Intuition
You often prioritize people’s feelings over objective facts.,Descision,T,Feeling,Thinking
You like to plan ahead and stick to schedules.,Tactics,T,Judging,Perceiving
You find it easy to start conversations with strangers.,Social,F,Extraversion,Introversion
You enjoy reflecting deeply on abstract or philosophical ideas.,Processing,F,Intuition,Sensing
You prefer to make practical step-by-step decisions.,Processing,T,Sensing,Intuition
You rely more on your heart than your head when deciding.,Descision,T,Feeling,Thinking
You’re comfortable taking charge in group situations.,Social,F,Extraversion,Introversion
You enjoy spontaneous adventures.,Tactics,F,Perceiving,Judging
You feel stressed if your plans are suddenly changed.,Tactics,T,Judging,Perceiving
You are easily affected by your emotions.,Descision,T,Feeling,Thinking
You prefer to focus on the big picture rather than small details.,Processing,F,Intuition,Sensing
You prefer a small close group of friends over large gatherings.,Social,T,Introversion,Extraversion
You often think about how things could be improved or reimagined.,Processing,F,Intuition,Sensing
You like to finish tasks early rather than at the last minute.,Tactics,T,Judging,Perceiving